citation-key,type,year,title,authors,container-title,volume,issue,page,DOI,PMID
hong:,article-journal,,Clinical Utility of Tumor-Naïve Presurgical Circulating Tumor DNA Detection in Early-Stage NSCLC,"Hong, Tae Hee; Hwang, Soohyun; Dasgupta, Abhijit; Abbosh, Chris; Hung, Tiffany; Bredno, Jörg; Walker, Jill; Shi, Xiaojin; Milenkova, Tsveta; Horn, Leora; Choi, Joon Young; Lee, Ho Yun; Cho, Jong Ho; Choi, Yong Soo; Shim, Young Mog; Chai, Shoujie; Rhodes, Kate; Roychowdhury-Saha, Manami; Hodgson, Darren; Kim, Hong Kwan; Ahn, Myung-Ju",,,,,https://doi.org/10.1016/j.jtho.2024.07.002,
dasguptaTechnicalReportNo1995,article-journal,1995,"Technical Report No. 295 Department of Statistics, University of Washington October, 1995","Dasgupta, Abhijit; Raftery, Adrian E",,,,,,
neuMultidisciplinaryDesignOptimization2000,paper-conference,2000,A multidisciplinary design optimization scheme for container ships,"Neu, W; Mason, W; Ni, S; Lin, Z; Dasgupta, A; Chen, Y",8th Symposium on Multidisciplinary Analysis and Optimization,,,4791,,
dasguptaParametricIdentifiabilityRelated2002,article-journal,2002,Parametric identifiability and related problems.,"Dasgupta, Abhijit",,,,,,
landiGeneExpressionSignatures2007,book,2007,Gene expression signatures of cigarette smoking in tumor and normal lung tissue from EAGLE,"Landi, Maria; Dracheva, Tatiana; Rotunno, Melissa; Shih, Joanna; Dasgupta, Abhijit; Consonni, Dario; Pesatori, Angela; Figueroa, Jonine; Wacholder, Sholom; Bertazzi, PierAlberto; ",,,,,,
plegerCLINICALPERSPECTIVE2007,article-journal,2007,CLINICAL PERSPECTIVE,"Pleger, Sven T; Most, Patrick; Boucher, Matthieu; Soltys, Stephen; Chuprun, J Kurt; Pleger, Wiebke; Gao, Erhe; Dasgupta, Abhijit; Rengo, Giuseppe; Remppis, Andrew; ",Circulation,115,19,2506–2515,,
shamimi-nooriOutpatientMedicationUsage2007,paper-conference,2007,Outpatient medication usage is not associated with anemia in patients hospitalized for decompensated heart failure,"Shamimi-Noori, Saum; Chryssos, Emmanuel D; Cho, Stephanie; Dasgupta, Abhijit; Adams, Suzanne; Mather, Paul; Rubin, Sharon; Andrei, Jocelyn; Whellan, David J",JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,49,,92A–92A,,
shermanBethesdaInterobserverReproducibility2007,article-journal,2007,"The Bethesda interobserver reproducibility study (BIRST) FNR HREF="" fn1""> FN ID="" fn1""> This article is a US government work and, as such, is in the public domain in the United States of America.","Sherman, Mark E; Dasgupta, Abhijit; Schiffman, Mark; Nayar, Ritu; Solomon, Diane",Cancer,111,1,15,,
bonitaGProteinCoupledReceptor2009,article-journal,2009,G-Protein Coupled Receptor Kinase Expression in Lymphocytes–A Novel Biomarker of Left Ventricular Systolic Function in Heart Failure Patients,"Bonita, Raphael E; Raake, Philip W; Otis, Nicholas J; Chuprun, Kurt J; Dasgupta, Abhijit; Koch, Walter J; Mather, Paul J",Journal of Cardiac Failure,15,6,S9,,
brodyCorrelationHuRCytoplasmic2009,article-journal,2009,Correlation of HuR cytoplasmic expression in pancreatic cancer and overall patient survival when treated with gemcitabine in the adjuvant setting,"Brody, J; Dasgupta, A; Costantino, CL; Kennedy, E; Yeo, CJ; Witkiewicz, AK",Journal of Clinical Oncology,27,15_suppl,11097–11097,,
cozzitortoHuRRoleGemcitabine2009,article-journal,2009,"HuR’s role in gemcitabine efficacy in pancreatic cancer: HuR upregulates the expression of the gemcitabine metabolizing enzyme, deoxycytidine kinase","Cozzitorto, Eugene P; Dasgupta, Abhijit; Keen, Judith C; Yeo, Charles J; Gorospe, Myriam; Brody, Jonathan R",Cancer Res,69,11,4567–4572,,
dasguptaDrugElutingStents2009,article-journal,2009,drug Eluting Stents In The Treatment Of Saphenous Vein Graft Disease: Low Mortality When Combined With Prolonged Dual Antiplatelet Therapy: poster: B-29,"Dasgupta, Abhijit; Deeugenio, Deborah; Fischman, David; Gould, Stuart; Ruggiero, Nicholas; Saltzman, Heath; Savage, Michael; Walinsky, Paul",Catheterization and Cardiovascular Interventions,73,,S36,,
mercierUsingCaveolin1Epithelial2009,article-journal,2009,Using Caveolin-1 epithelial immunostaining patterns to stratify human breast cancer patients and to predict the Caveolin-1 (P132L) mutation,"Mercier, Isabelle; Bryant, Kelly G; Sotgia, Federica; Bonuccelli, Gloria; Witkiewicz, Agnieszka K; Dasgupta, Abhijit; Jasmin, Jean-François; Pestell, Richard G; Lisanti, Michael P",Cell Cycle,8,9,1396–1401,,
ruggieroPredictorsMajorAdverse2009,article-journal,2009,Predictors of major adverse cardiac events in patients undergoing percutaneous coronary intervention with drug-eluting stents for the treatment of saphenous vein graft disease,"Ruggiero, Nicholas J; Gould, Stuart; Saltzman, Heath; DeEugenio, Deborah; DasGupta, Abhijit; Kiernan, Thomas; Yan, Bryan P; Walinsky, Paul; Fischman, David; Savage, Michael",Cardiovascular Revascularization Medicine,3,10,201,,
tollRepressionEcadherinPolycomb2009,article-journal,2009,Repression of E-cadherin by the polycomb group protein EZH2 in pancreatic cancer,"Toll, AD; Dasgupta, A; Potoczek, M; Kleer, CG; Brody, JR; Witkiewicz, AK","Department of Pathology, Anatomy and Cell Biology Faculty Papers",,,34,,
witkiewiczNewStromalbasedClassification2009,article-journal,2009,Towards a new “stromal-based” classification system for human breast cancer prognosis and therapy,"Witkiewicz, Agnieszka K; Casimiro, Mathew C; Dasgupta, Abhijit; Mercier, Isabelle; Wang, Chenguang; Bonuccelli, Gloria; Jasmin, Jean-François; Frank, Philippe G; Pestell, Richard G; Kleer, Celina G; ",Cell cycle,8,11,1654–1658,,
wagnerLossStromalCaveolin12010,article-journal,2010,Loss of Stromal Caveolin-1 Independently Predicts Poor Disease-Free Survival and Time to Recurrence in Patients with Prostate Cancer,"Wagner, M; Dasgupta, A; Sotgia, F; West, RB; Lisanti, MP; Witkiewicz, AK",,,,,,
tektonidouSuicidalIdeationAdults2011,article-journal,2011,Suicidal ideation among adults with arthritis: prevalence and subgroups at highest risk. Data from the 2007–2008 National Health and Nutrition Examination Survey,"Tektonidou, Maria G; Dasgupta, Abhijit; Ward, Michael M",Arthritis care & research,63,9,1322–1333,,
malleyConsistentProbabilityEstimation2012,article-journal,2012,Consistent Probability Estimation Using Nonparametric Learning Machines,"Malley, James D; Kruppa, Jochen; Dasgupta, Abhijit; Malley, Karen G; Ziegler, Andreas",Methods of Information in Medicine,51,1,74–81,,
witkiewiczUsingReverseWarburg2012,article-journal,2012,Using the “reverse Warburg effect” to identify high-risk breast cancer patients: stromal MCT4 predicts poor clinical outcome in triple-negative breast cancers,"Witkiewicz, Agnieszka K; Whitaker-Menezes, Diana; Dasgupta, Abhijit; Philp, Nancy J; Lin, Zhao; Gandara, Ricardo; Sneddon, Sharon; Martinez-Outschoorn, Ubaldo E; Sotgia, Federica; Lisanti, Michael P",Cell cycle,11,6,1108–1117,,
malley2013,article-journal,2013,The limits of p-values for biological data mining,"Malley, James D; Dasgupta, Abhijit; Moore, Jason H",BioData Mining,6,1,"10, 1756-0381-6-10",10.1186/1756-0381-6-10,
biehlHydroxychloroquineLevelVariants2015,article-journal,2015,hydroxychloroquine Level Variants and Predictors in a Connective Tissue Disease Population: abstract Number: 1802,"Biehl, Ann; Ghaderi-Yeganeh, Maryam; Manna, Zerai; Dasgupta, Abhijit; Kaplan, Mariana J; Hasni, Sarfaraz",Arthritis & Rheumatology,67,,2186–2187,,
tektonidouBurdenSeriousInfections2015,article-journal,2015,"Burden of Serious Infections in Adults With Systemic Lupus Erythematosus: A National Population-Based Study, 1996–2011","Tektonidou, Maria G; Wang, Zhong; Dasgupta, Abhijit; Ward, Michael M",Arthritis care & research,67,8,1078–1085,,
tektonidouRiskEndstageRenal2016,article-journal,2016,"Risk of end-stage renal disease in patients with lupus nephritis, 1971–2015: a systematic review and Bayesian meta-analysis","Tektonidou, Maria G; Dasgupta, Abhijit; Ward, Michael M",Arthritis & Rheumatology,68,6,1432–1441,,
wardResponseHeterogeneityConsistency2016,article-journal,2016,"Response to:‘Heterogeneity, consistency and model fit should be assessed in Bayesian network meta-analysis’ by Wei et al","Ward, Michael M; Dasgupta, Abhijit; Wang, Runsheng",Annals of the rheumatic diseases,75,1,e6–e6,,
wardConclusionsMetaanalysisOversimplification2017,article-journal,2017,Conclusions from a meta-analysis: oversimplification or warranting critical analysis? Comment on the article by Tektonidou et al Reply,"Ward, Michael M; Dasgupta, Abhijit; Tektonidou, Maria",ARTHRITIS & RHEUMATOLOGY,69,8,1705–1705,,
