"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FIJ9YND9","journalArticle","1998","Dasgupta, Abhijit; Raftery, Adrian E","Detecting Features in Spatial Point Patterns with Clutter Via Model-Based Clustering","Journal of the American Statististical Association","","","","http://scholar.google.com/scholar?q=related:nhTkotCskLoJ:scholar.google.com/&hl=en&num=30&as_sdt=0,5","","1998","2020-09-16 18:34:56","2020-09-16 18:34:56","","294-302","","","93","","","","","","","","Am. Statistical Assoc","","","All rights reserved","","","","","","Place: University of Washington","","/Users/ksrd721/Zotero/storage/2TRZM44P/Dasgupta, Raftery - 1998 - Detecting Features in Spatial Point Patterns with Clutter Via Model-Based Clustering(2).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9LMAYV6","journalArticle","2019","Tektonidou, Maria G; Dasgupta, Abhijit; Ward, Michael M","Interhospital variation in mortality among patients with systemic lupus erythematosus and sepsis in the USA","Rheumatology","","","","","","2019","2020-09-16 18:37:44","2025-03-25 02:45:44","","","","","","","","","","","","","","","","All rights reserved","","","","","","","","","http://dx.doi.org/10.1093/rheumatology/kez103","mortality; sepsis; systemic lupus erythematosus; volume-outcome associations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMU8HEW6","journalArticle","2006","Parascandola, Mark; Weed, Douglas L; Dasgupta, Abhijit","Two Surgeon General's reports on smoking and cancer: a historical investigation of the practice of causal inference.","Emerging Themes in Epidemiology","","17427622","10.1186/1742-7622-3-1","http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1343554&tool=pmcentrez&rendertype=abstract","BACKGROUND: The epidemiologic literature is replete with conceptual discussions about causal inference, but little is known about how the causal criteria are applied in public health practice. The criteria for causal inference in use today by epidemiologists have been shaped substantially by their use over time in reports of the U.S. Surgeon General on Smoking and Health. METHODS: We reviewed two classic reports on smoking and health from expert committees convened by the US Surgeon General, in 1964 and 1982, in order to evaluate and contrast how the committees applied causal criteria to the available evidence for the different cancer sites at different time periods. We focus on the evidence for four cancer sites in particular that received detailed reviews in the reports: lung, larynx, esophagus and bladder. RESULTS: We found that strength of association and coherence (especially dose-response, biological plausibility and epidemiologic sense) appeared to carry the most weight; consistency carried less weight, and temporality and specificity were apparently not applied at all in some cases. No causal claim was made for associations with a summary odds ratio of less than 3.0. CONCLUSION: Our findings suggest that the causal criteria as described in textbooks and the Surgeon General reports can have variable interpretations and applications in practice. While the authors of these reports may have considered evidential factors that they did not explicitly cite, such lack of transparency of methods undermines the purpose of the causal criteria to promote objective, evidence-based decision making. Further empirical study and critical examination of the process by which causal conclusions are reached can play an important role in advancing the practice of epidemiology by helping public health scientists to better understand the practice of causal inference.","2006","2020-09-16 18:37:43","2025-03-25 02:45:46","","1","","","3","","","","","","","","National Cancer Institute, Bethesda, Maryland, USA. paramark@mail.nih.gov","","","All rights reserved","","","","","","","","; /Users/ksrd721/Zotero/storage/UUC8VWRG/Parascandola, Weed, Dasgupta - 2006 - Two Surgeon General's reports on smoking and cancer a historical investigation of the practice (2).pdf","http://dx.doi.org/10.1186/1742-7622-3-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GVZEEJP","journalArticle","2002","das Gupta, Somesh; Dasgupta, Abhijit","Ill-conditioned design and unidentifiability","Sankhy\=a. The Indian Journal of Statistics. Series A","","","","http://www.ams.org/mathscinet-getitem?mr=MR1968376","","2002","2020-09-16 18:37:43","2025-03-25 02:45:47","","86-94","","1","64","","","","","","","","","","","All rights reserved","","","","","","Number: 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3HI4Y9Y","journalArticle","2020","Ward, Michael M; Dasgupta, Abhijit","Regional variation in rates of total knee arthroplasty among medicare beneficiaries","JAMA Network Open","","","","","","2020","2024-05-29 13:43:03","2024-05-29 13:43:03","","e203717–e203717","","4","3","","","","","","","","American Medical Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SD7LHXHD","journalArticle","2020","Ward, Michael M; Dasgupta, Abhijit","Pre-operative withholding of infliximab and the risk of infections after major surgery in patients with rheumatoid arthritis","Rheumatology","","","","","","2020","2020-09-16 18:36:45","2025-03-25 02:44:04","","3917–3926","","12","59","","","","","","","","Oxford University Press","","","","","","","","","","","/Users/ksrd721/Zotero/storage/4EHNGF3H/Ward and Dasgupta - Pre-operative withholding of infliximab and the ri.pdf; /Users/ksrd721/Zotero/storage/6SK7H4JK/5876180.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G85AD3ER","journalArticle","2018","Ward, Michael M; Tektonidou, Maria; Dasgupta, Abhijit","CS-27 Mortality among patients with systemic lupus erythematosus hospitalized with sepsis varies widely among US hospitals","Lupus Science & Medicine","","","10.1136/lupus-2018-lsm.62","http://dx.doi.org/10.1136/lupus-2018-lsm.62","","2018-08","2024-05-29 13:43:03","2024-05-29 13:43:03","","A37–A38","","Suppl 2","5","","","","","","","","","","","","","","","","","Citation Key: Ward:2018c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DI9BD63B","journalArticle","2018","Jha, Smita; Laucis, Nicholas; Kim, Lauren; Malayeri, Ashkan; Dasgupta, Abhijit; Papadakis, Georgios Z.; Karantanas, Apostolos; Torres, Miguel; Bhattacharyya, Timothy","CT analysis of anatomical distribution of melorheostosis challenges the sclerotome hypothesis","Bone","","8756-3282","10.1016/j.bone.2018.09.005","http://www.sciencedirect.com/science/article/pii/S8756328218303430","Melorheostosis (MEL) is a rare disease of high bone mass with patchy skeletal distribution affecting the long bones. We recently reported somatic mosaic mutations in MAP2K1 in 8 of 15 patients with the disease. The unique anatomic distribution of melorheostosis is of great interest. The disease remains limited to medial or lateral side of the extremity with proximo-distal progression. This pattern of distribution has historically been attributed to sclerotomes (area of bone which is innervated by a single spinal nerve level). In a further analysis of our study on MEL, 30 recruited patients underwent whole body CT scans to characterize the anatomic distribution of the disease. Two radiologists independently reviewed these scans and compared it to the proposed map of sclerotomes. We found that the disease distribution conformed to the distribution of a single sclerotome in only 5 patients (17%). In another 12 patients, the lesions spanned parts of contiguous sclerotomes but did not involve the entire extent of the sclerotomes. Our findings raise concerns about the sclerotomal hypothesis being the definitive explanation for the pattern of anatomic distribution in MEL. We believe that the disease distribution can be explained by clonal proliferation of a mutated skeletal progenitor cell along the limb axis. Studies in mice models on clonal proliferation in limb buds mimic the patterns seen in melorheostosis. We also support this hypothesis by the dorso-ventral confinement of melorheostotic lesion in a patient with low allele frequency of MAP2K1-positive osteoblasts and low skeletal burden of the disease. This suggests that the mutation occurred after the formation of dorso-ventral plane. Further studies on limb development are needed to better understand the etiology, pathophysiology and pattern of disease distribution in all patients with MEL.","2018-12","2024-05-29 13:43:03","2024-05-29 13:43:03","","31 - 36","","","117","","","","","","","","Elsevier BV","","","","","","","","","Citation Key: Jha:2018b tex.date-added: 2018-12-21 03:04:45 +0000 tex.date-modified: 2018-12-21 03:08:25 +0000","","; ","https://doi.org/10.1016/j.bone.2018.09.005; http://dx.doi.org/10.1016/j.bone.2018.09.005","Hyperostosis; Limb development; Sclerotomes; Somatic mutation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A27LZXCI","journalArticle","2018","Jha, Smita; Fratzl-Zelman, Nadja; Roschger, Paul; Papadakis, Georgios Z; Cowen, Edward W; Kang, Heeseog; Lehky, Tanya J; Alter, Katharine; Deng, Zuoming; Ivovic, Aleksandra; Flynn, Lauren; Reynolds, James C; Dasgupta, Abhijit; Miettinen, Markku; Lange, Eileen; Katz, James; Kaushofer, Klaus; Marini, Joan C; Siegel, Richard M; Bhattacharyya, Timothy","Distinct clinical and pathological features of melorheostosis associated with somatic MAP2K1 mutations","Journal of Bone and Mineral Research","","","10.1002/jbmr.3577","https://dx.doi.org/10.1002/jbmr.3577","","2018-09","2024-05-29 13:43:03","2024-05-29 13:43:03","","145–156","","1","34","","","","","","","","Wiley","","","","","","","","","Citation Key: Jha:2018 tex.date-added: 2018-08-21 20:18:51 +0000 tex.date-modified: 2018-08-21 20:21:11 +0000","","","http://dx.doi.org/10.1002/jbmr.3577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEM4I4RK","journalArticle","2018","Ward, Michael M.; Guthrie, Lori C.; Alba, Maria I.; Dasgupta, Abhijit","Origins of discordant responses among 3 rheumatoid arthritis improvement criteria","The Journal of Rheumatology","","","10.3899/jrheum.170788","https://dx.doi.org/10.3899/jrheum.170788","","2018-04","2020-09-16 18:37:44","2025-03-25 02:44:01","","745–752","","6","45","","","","","","","","The Journal of Rheumatology","","","","","","","","","","","","http://dx.doi.org/10.3899/jrheum.170788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
